id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
33491101,Casita  refugio interior,252327165,Luz,,El Bosque,-33.56362,-70.70975,Private room,30000,1,0,,,2,140,0,
41380910,Casa Condominio Piscina Chamisero/8min de Vitacura,110039387,Stephanie,,Huechuraba,-33.32342,-70.63119,Entire home/apt,70000,30,4,2021-03-14,0.13,1,52,0,
49392,Share my Flat in Providencia,224592,Maria,,Providencia,-33.43266,-70.60072,Private room,49590,3,0,,,1,178,0,
52811,Suite Providencia 1 Santiago Chile,244792,Cristián,,Providencia,-33.42959,-70.6188,Entire home/apt,50526,1,46,2021-11-04,0.32,3,0,1,
53494,depto centro ski el colorado chile,249097,Paulina,,Lo Barnechea,-33.34344,-70.29432,Entire home/apt,149999,2,38,2021-05-22,0.50,1,356,0,
65058,Dpto amoblado centro historico,318016,Patricio,,Recoleta,-33.43049,-70.64135,Private room,56140,2,0,,,1,365,0,
73752,Barrio Lastarria,374124,Daniela&Ricardo,,Santiago,-33.43868,-70.64414,Private room,74853,3,0,,,1,365,0,
80482,Room Private for Woman,154527,Jacqueline,,La Florida,-33.51918,-70.59149,Private room,22242,2,0,,,1,363,0,
83677,Loft in Pocuro,456388,Keno,,Providencia,-33.43159,-70.59202,Entire home/apt,135671,1,0,,,1,365,0,
88944,COZY APT. PROVIDENCIA METRO WIFI TV,485358,Macarena,,Providencia,-33.4222,-70.60846,Entire home/apt,33553,3,172,2022-09-06,1.29,1,267,13,
90629,Hermoso departamento individual,491051,Marcy-Lú,,Santiago,-33.43787,-70.64082,Entire home/apt,93566,3,0,,,1,365,0,
90694,Apartment x Rent in Providencia 802,491253,Hector,,Providencia,-33.4259,-70.61692,Entire home/apt,43999,3,62,2022-07-31,0.45,1,340,4,
94147,"Great house in Santiago, Las Condes",493996,Abraham,,Las Condes,-33.39929,-70.54542,Private room,45847,1,2,2011-12-07,0.01,1,365,0,
95139,Room Family Home,506998,Rafael,,Santiago,-33.43665,-70.67835,Private room,66432,7,0,,,1,365,0,
96722,Private bathroom room in Las Condes,513040,Elby,,Las Condes,-33.42532,-70.58566,Private room,56140,1,0,,,1,365,0,
100057,DEPARTAMENTO CENTRO DE SANTIAGO,526328,Fernando,,Santiago,-33.43199,-70.65789,Private room,74853,14,2,2012-02-13,0.01,1,365,0,
106795,departamento santiago centro,552381,Nora,,Santiago,-33.43974,-70.65493,Entire home/apt,74853,1,0,,,1,365,0,
116494,DEPARTAMENTO SANTIAGO CHILE,588476,Antonio,,Santiago,-33.43855,-70.64486,Private room,56140,1,0,,,1,365,0,
119688,Nice & quiet place in Providencia,603746,Marco,,Providencia,-33.43022,-70.60677,Private room,42105,1,0,,,1,365,0,
122128,habitacion  single de Juan,612580,Juan,,Providencia,-33.43871,-70.60424,Private room,70175,1,0,,,1,365,0,
122810,Beautiful furnished apartment,614958,Victor,,Recoleta,-33.42361,-70.63984,Entire home/apt,28070,2,8,2018-03-24,0.12,1,356,0,
123569,Habitación Single,617378,Carolina,,Santiago,-33.44972,-70.64641,Private room,51461,1,0,,,1,365,0,
124075,Habitación Doble baño compartido,619256,Rodrigo,,Providencia,-33.41905,-70.61165,Private room,37426,2,1,2012-01-19,0.01,6,365,0,
124291,habitacion con baño privado,619919,Livia,,Las Condes,-33.42015,-70.55652,Private room,56140,5,0,,,1,365,0,
131054,habitación para 1,645012,Norman,,Santiago,-33.44356,-70.63505,Private room,37426,1,0,,,1,365,0,
132624,departamento  centrico lado Subway,651711,Administrador,,Santiago,-33.43385,-70.65641,Private room,94231,1,0,,,1,365,0,
133295,Lux Las Condes Furnished Apartments,13553614,Felipe,,Las Condes,-33.41121,-70.58845,Entire home/apt,233916,7,83,2022-03-08,0.63,2,365,1,
133783,Beautiful room in Providencia,656696,María Victoria,,Providencia,-33.42974,-70.60432,Private room,46783,1,0,,,1,365,0,
136438,Fully Furnished Apartment Providencia,667910,Roxana,,Providencia,-33.42343,-70.60899,Entire home/apt,50429,1,45,2022-08-22,0.35,11,311,13,
136993,Apto Las condes - Santiago de Chile,670148,Ursa,,Las Condes,-33.41215,-70.58929,Entire home/apt,55073,1,0,,,1,357,0,
139270,Better Location,679343,Mayer Ltda,,Santiago,-33.44808,-70.65389,Private room,112279,1,0,,,1,365,0,
142622,"Dormitorio cama 2 plazas, baño en suite  y parking",639690,Gilda,,La Reina,-33.44522,-70.54603,Private room,42105,3,2,2022-04-16,0.03,1,363,1,
144172,Bedroom furnished home environment,698776,Elizabeth,,Santiago,-33.4435,-70.64535,Private room,56140,6,0,,,1,365,0,
147552,Near the mountain chain,712922,Karim,,Lo Barnechea,-33.36054,-70.51288,Shared room,39298,1,5,2018-04-22,0.06,2,365,0,
154395,Ubicacion 2D2B Luminoso METRO Amplio  lindaVista,716143,Eugenio,,Las Condes,-33.41433,-70.58213,Entire home/apt,49771,7,203,2022-08-06,1.61,1,330,16,
154615,Furnished apartment near Metro,743719,Roberto,,Las Condes,-33.41641,-70.60232,Entire home/apt,42105,2,51,2022-07-15,0.38,3,325,6,
158137,Pieza independiente,759002,José,,Ñuñoa,-33.46029,-70.59377,Private room,37426,1,0,,,1,365,0,
160729,Apartment on 9th floor. Stunning views!,769822,Ronald,,Santiago,-33.4484,-70.6322,Entire home/apt,24327,150,17,2019-10-03,0.38,1,264,0,
172103,casa familia,821265,Ivonne,,Independencia,-33.42261,-70.65958,Private room,25263,1,0,,,1,365,0,
175077,Depto cerca Plaza Armas,836768,Martita,,Santiago,-33.43556,-70.65358,Entire home/apt,56140,1,0,,,1,365,0,
176932,Room Near Bellavista,846125,Patricio,,Recoleta,-33.42458,-70.63899,Private room,37426,1,0,,,1,365,0,
176943,comfortable room in the center of,846097,Monica Gabriela,,Providencia,-33.42464,-70.61539,Private room,37426,1,0,,,1,365,0,
177729,Bedroom  whit access to a bathroom,851453,Sandra,,Ñuñoa,-33.44788,-70.60036,Private room,32748,3,0,,,1,365,0,
181005,Rooms (2) Private in Barrio Bellavista,867345,Edwin,,Recoleta,-33.42217,-70.64131,Private room,42105,2,4,2019-01-21,0.04,1,363,0,
191723,"Artsy,joyful flat in nice area",927749,Pilar,,Providencia,-33.43068,-70.58566,Private room,62156,1,0,,,1,365,0,
191754,Apartment Historical Downtown Stgo.,927912,Miguel,,Santiago,-33.44035,-70.65797,Entire home/apt,46783,7,121,2022-03-31,0.91,2,264,2,
193626,"Spacious home, family atmosphere.",939376,Oscar,,San Miguel,-33.50096,-70.6497,Private room,41703,1,0,,,1,365,0,
199514,Santiago Down Tow Big appartment,974626,Ronald,,Santiago,-33.43743,-70.65687,Private room,46783,1,0,,,1,365,0,
202286,Furnished Apartment Forestal Park 1,131488797,Daniela,,Recoleta,-33.43183,-70.64657,Entire home/apt,35143,4,389,2022-08-28,2.89,6,3,18,
225980,Furnished Luxury Studio Apartment,1177685,Karina,,Providencia,-33.42552,-70.61642,Private room,38857,1,21,2022-08-29,0.16,3,349,6,
233585,Big Furnished Room,489857,Eduardo,,Santiago,-33.43847,-70.657,Entire home/apt,25263,30,1,2017-03-26,0.01,1,0,0,
256476,TRAVEL SUITES departamento amoblado en Providencia,1177685,Karina,,Providencia,-33.42539,-70.61699,Private room,41143,1,12,2021-03-19,0.09,3,354,0,
259656,Suite Providencia 2 Santiago Chile,244792,Cristián,,Providencia,-33.42985,-70.61797,Entire home/apt,56140,1,40,2022-01-13,0.31,3,0,3,
275005,Central and family place to stay,1437683,Diego Ignacio,,Santiago,-33.45166,-70.64547,Private room,42105,1,4,2013-11-03,0.03,1,365,0,
276647,"Santiago Cozy Apartments 2, until 3 people",1434751,Celia,,Santiago,-33.45023,-70.63236,Entire home/apt,25000,10,4,2022-03-15,0.04,2,174,2,
280663,"TURISMO BELLAVISTA,  Best View 1",1463563,Arnaldo,,Recoleta,-33.43356,-70.63659,Entire home/apt,60818,3,38,2022-08-24,0.31,6,364,10,
284083,room with private bathroom,1482561,Alba,,Santiago,-33.45203,-70.64978,Private room,43443,1,0,,,1,365,0,
288216,Santiago Mountain View right by Parque forestal,155589,Carlos,,Recoleta,-33.43284,-70.64752,Entire home/apt,34620,30,25,2022-09-13,0.28,1,313,1,
293845,"Room in Ñuñoa, chilean summer!",1519813,Frankie,,Ñuñoa,-33.45593,-70.60941,Private room,37426,1,0,,,1,365,0,
294974,Furnished Luxury Studio Apartment,1177685,Karina,,Providencia,-33.42457,-70.61597,Private room,38429,1,5,2022-07-28,0.10,3,355,1,
298065,Vespucci Apartments in Vitacura,1536656,Vespucci,,Vitacura,-33.40065,-70.5877,Private room,224559,1,0,,,1,365,0,
315114,Superior,246789,Victoria,,Providencia,-33.42549,-70.61214,Private room,102923,1,0,,,1,364,0,
325820,Comodo dpto. Santiago Huerfanos 547,1666498,Pedro,,Santiago,-33.43996,-70.64398,Entire home/apt,62156,3,25,2022-01-15,0.19,6,358,2,
326156,Barrio  Lastarria     OPORTUNIDAD,1668113,María Luisa,,Santiago,-33.4403,-70.64098,Private room,46337,5,0,,,1,365,0,
329362,"Pieza privada con baño, wifi y tv",1681845,Elisabeth,,Las Condes,-33.40886,-70.53601,Private room,56140,1,0,,,1,365,0,
331061,"TURISMO BELLAVISTA, Best View 2",1463563,Arnaldo,,Providencia,-33.43215,-70.63433,Entire home/apt,62156,2,20,2022-08-13,0.18,6,365,3,
332424,LINDA HABITACIÓN PARA MUJERES EN SANTIAGO CENTRO,1694145,Carmen,,Santiago,-33.44839,-70.63717,Private room,45000,2,0,,,1,365,0,
